1,Acacia,catechu,Khair,Mimosaceae,
2,Acacia,farnesiana,Farnesiana,Mimosaceae,
3,Acacia,leucopholea,Raru,Mimosaceae,
4,Acacia,nilotica,Kikar,Mimosaceae,
5,Acacia,modesta,Flahi,Mimosaceae,
6,Alibizia,lebbek,Siris,Mimosaceae,
7,Anogeissus,latifolia,Chal,Combretaceae,
8,Azadirachta,indica,Neem,Meliaceae,
9,Bauhinia,racemosa,Chalonda,Caesalpiniaceae,
10,Bauhinia,variegata,Kachnar,Caesalpiniaceae,
11,Bombax,ceiba,Semal,Bombacaceae,
12,Butea,monosperma,Dhak,Fabaceae,
13,Casearia,tomentosa,Chila,Flacourtiaceae,
14,Cassia,fistula,Amaltash,Caesalpiniaceae,
15,Cordia,dichotoma,Lasora,Ehretiaceae,
16,Cordia,vestita,Gumtu,Ehretiaceae,
17,Dalbergia,sissoo,Sisham,Fabaceae,
18,Diospyros,cordifolia,Kendu,Ebenaceae,
19,Ehretia,laevis,Charmror,Ehretiaceae,
20,Eucalyptus,tereticornis,Safeda,Myrtaceae,
21,Ficus,benghalensis,Barota,Moraceae,
22,Ficus,religiosa,Pipal,Moraceae,
23,Flacourtia,indica,kangan,Flacourtiaceae,
24,Gmelina,arborea,Kumhar,Verbenaceae,
25,Grewia,oppositifolia,Bewal,Teliaceae,
26,Lannaea,coromadelica,Jhigan,Anacardiaceae,
27,Laucaena,leucocephala,Lusunea,Mimosoceae,
28,Manilkara,hexandra,Khirni,Sapotaceae,
29,Mangifera,indica,Aam,Anacardiaceae,
30,Melia,azedarach,Bakain,Meliaceae,
31,Moringa,oleifera,Saijana,Moringaceae,
32,Morus,alba,Toot,Moraceae,
33,Nyctanthes,arbor-tristis,Koora,Oleaceae,
34,Ougenia,oojeinensis,Challan,Fabaceae,
35,Pongamia,pinnata,Pare,Fabaceae,
36,Prosopis,juliflora,Mesquit,Mimosaceae,
37,Stereospermum,suaveolens,Padal,Begnoniaceae,
38,Syzygium,cumini,Jamun,Myrtaceae,
39,Wendlandia,heynei,Ratala,Rubiaceae,
40,Wrightia,arborea,Dhawa,Begnoniaceae,
1,Adhatoda,zeylanica,Basuta,Acanthaceae,
2,Agave,cantala,Ramban,Agavaceae,
3,Barleria,cristata,,Lamiaceae,
4,Capparis,sepiaria,Heens,Capparadiaceae,
5,Carissa,opeca,Karonda,Apocynaceae,
6,Cassia,tora,Caesalpiniaceae,,
7,Datura,innoxia,Datura,Solanaceae,
8,Dodonaeaviscosa,Gainder,Sapindaceae,,
9,Grewia,tenax,"Gungarm,",Banchana,Teliaceae
10,Ipomoea,carnea,Basuti,Convolvulaceae,
11,Lantana,camara,Laltana,Verbenaceae,
12,Maytenusemarginatus,Morkandai,Celastraceae,,
13,Murrayakoenigii,Rutaceae,,,
14,Opuntia,elatior,Cactaceae,,
15,Pavoniazeylanica,Malvaceae,,,
16,Solanum,surattense,Solanaceae,,
17,Ziziphus,mauritiana,Ber,Rhamnaceae,
18,Ziziphus,nummularia,Jharberi,Rhamnaceae,
1,Abrusprecatorius,Lalari,Fabaceae,,
2,Bauhinia,vahlii,Malzan,Caesalpiniaceae,
3,Celastruspaniculatus,Malkangni,Celastraceae,,
4,Cocculus,hirsutus,Menispermaceae,,
5,Cocculus,pendulus,Menispermaceae,,
6,Cryptolepisbuchananii,Asclepidiaceae,,,
7,Ichnocarpus,frutescens,Bakerbel,Apocynaceae,
8,Leptadenia,reticulate,Apocynaceae,,
9,Tinospora,cordifolia,Geloh,Menispermaceae,
